year,movie_name,release_date,opening_day,opening_weekend,week_1,lifetime_collection
2010,Ada… a way of life,31 Dec 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2010,Toonpur Ka Superrhero,24 Dec 2010,0.44 Cr,1.40 Cr,2.37 Cr,3.55 Cr
2010,Isi Life Mein,24 Dec 2010,0 CrN.A,0 CrN.A,0 CrN.A,1.65 Cr
2010,Tees Maar Khan,24 Dec 2010,13.00 Cr,38.25 Cr,49.75 Cr,60.91 Cr
2010,Kaalo,17 Dec 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.60 Cr
2010,332 Mumbai To India,17 Dec 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.25 Cr
2010,Mirch,17 Dec 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.89 Cr
2010,Payback,17 Dec 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.25 Cr
2010,No Problem,10 Dec 2010,4.50 Cr,16.50 Cr,23.43 Cr,28.00 Cr
2010,Band Baaja Baaraat,10 Dec 2010,0.95 Cr,5.20 Cr,9.40 Cr,17.08 Cr
2010,Phas Gaye Re Obama,03 Dec 2010,0.22 Cr,1.20 Cr,2.05 Cr,2.45 Cr
2010,Rakht Charitra – 2,03 Dec 2010,N.A. Cr,N.A. Cr,N.A. Cr,3.86 Cr
2010,Khelein Hum Jee Jaan Sey,03 Dec 2010,0 CrN.A,3.25 Cr,5.01 Cr,5.01 Cr
2010,Khuda Kasam,26 Nov 2010,0 CrN.A,0.36 Cr,0.57 Cr,1.51 Cr
2010,Allah Ke Banday,26 Nov 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.52 Cr
2010,Spanish Beauty/A Beautiful Wife,26 Nov 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.06 Cr
2010,Break Ke Baad,26 Nov 2010,3.00 Cr,10.50 Cr,15.00 Cr,17.64 Cr
2010,Hisss,22 Nov 2010,N.A. Cr,N.A. Cr,N.A. Cr,7.21 Cr
2010,Diwangi Ne Had Kar Di,19 Nov 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.10 Cr
2010,Guzaarish,19 Nov 2010,4.00 Cr,15.00 Cr,22.00 Cr,29.32 Cr
2010,Shahrukh Bola Khoobsurat Hai Tu,19 Nov 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.11 Cr
2010,Dunno Y Na Jaane Kyun…,12 Nov 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.05 Cr
2010,Ramaa – The Saviour,12 Nov 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.15 Cr
2010,A Flat,12 Nov 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.37 Cr
2010,Golmaal 3,05 Nov 2010,8.00 Cr,33.58 Cr,62.19 Cr,106.34 Cr
2010,Action Replayy,05 Nov 2010,2.75 Cr,16.75 Cr,23.40 Cr,29.06 Cr
2010,Musaa,29 Oct 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.02 Cr
2010,Nakshatra,29 Oct 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.16 Cr
2010,Maalik Ek,29 Oct 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.05 Cr
2010,Daayen Ya Baayen,29 Oct 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.04 Cr
2010,Dus Tola,22 Oct 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.11 Cr
2010,Rakht Charitra – I,22 Oct 2010,N.A. Cr,N.A. Cr,N.A. Cr,9.04 Cr
2010,Jhootha Hi Sahi,22 Oct 2010,N.A. Cr,5.00 Cr,7.49 Cr,10.91 Cr
2010,Kajraare,15 Oct 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2010,Aakrosh,15 Oct 2010,0 CrN.A,7.73 Cr,12.35 Cr,13.64 Cr
2010,Knock Out,15 Oct 2010,0 CrN.A,3.91 Cr,6.28 Cr,7.17 Cr
2010,Ramayana – The Epic,15 Oct 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.36 Cr
2010,Do Dooni Chaar,08 Oct 2010,N.A. Cr,N.A. Cr,N.A. Cr,4.32 Cr
2010,Lava Kusa,08 Oct 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.20 Cr
2010,Crook: It’s Good To Be Bad,08 Oct 2010,0 CrN.A,7.00 Cr,11.05 Cr,12.40 Cr
2010,Khichdi – The Movie,01 Oct 2010,0.75 Cr,3.58 Cr,5.04 Cr,5.10 Cr
2010,Benny and Babloo,01 Oct 2010,0 CrN.A,0 CrN.A,0 CrN.A,8.46 Cr
2010,Robot,01 Oct 2010,0 CrN.A,7.74 Cr,12.37 Cr,23.84 Cr
2010,Anjaana Anjaani,01 Oct 2010,7.00 Cr,20.51 Cr,33.00 Cr,40.29 Cr
2010,Life Express,17 Sep 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.05 Cr
2010,For Real,17 Sep 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.08 Cr
2010,Dabangg,10 Sep 2010,14.50 Cr,48.50 Cr,81.00 Cr,138.88 Cr
2010,The Film Emotional Atyachar,03 Sep 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.98 Cr
2010,Mallika,03 Sep 2010,0 CrN.A,0 CrN.A,0 CrN.A,1.01 Cr
2010,We Are Family,02 Sep 2010,2.70 Cr,14.20 Cr,17.86 Cr,21.64 Cr
2010,Gumshuda,27 Aug 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.05 Cr
2010,Geng – The Adventure Begins,27 Aug 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.02 Cr
2010,Hello Darling,27 Aug 2010,N.A. Cr,N.A. Cr,N.A. Cr,2.97 Cr
2010,Antardwand,27 Aug 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.25 Cr
2010,Soch Lo,27 Aug 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.05 Cr
2010,Aashayein,27 Aug 2010,N.A. Cr,1.25 Cr,2.05 Cr,2.54 Cr
2010,Madholal Keep Walking,27 Aug 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.06 Cr
2010,Kis Hudh Tak…,20 Aug 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.01 Cr
2010,Lafangey Parindey,20 Aug 2010,0 CrN.A,10.50 Cr,17.25 Cr,21.77 Cr
2010,And Once Again,20 Aug 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.12 Cr
2010,PEEPLI [Live],13 Aug 2010,0 CrN.A,16.00 Cr,22.00 Cr,30.41 Cr
2010,Help,13 Aug 2010,0 CrN.A,1.34 Cr,2.36 Cr,2.58 Cr
2010,Aisha,06 Aug 2010,3.65 Cr,13.43 Cr,17.40 Cr,17.55 Cr
2010,Once Upon A Time In Mumbaai,30 Jul 2010,6.05 Cr,22.01 Cr,34.20 Cr,55.47 Cr
2010,Khatta Meetha,23 Jul 2010,7.00 Cr,23.00 Cr,32.91 Cr,38.66 Cr
2010,Lamhaa,16 Jul 2010,N.A. Cr,6.00 Cr,8.45 Cr,9.08 Cr
2010,Udaan,16 Jul 2010,N.A. Cr,1.25 Cr,2.50 Cr,3.35 Cr
2010,Tere Bin Laden,16 Jul 2010,0.90 Cr,3.74 Cr,5.61 Cr,7.94 Cr
2010,Milenge Milenge,09 Jul 2010,2.24 Cr,7.54 Cr,10.45 Cr,11.00 Cr
2010,Red Alert – The War Within,09 Jul 2010,N.A. Cr,N.A. Cr,N.A. Cr,1.55 Cr
2010,I Hate Luv Storys,02 Jul 2010,7.00 Cr,23.00 Cr,33.13 Cr,43.17 Cr
2010,Mr. Singh Mrs. Mehta,25 Jun 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.22 Cr
2010,Krantiveer-The Revolution,25 Jun 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.76 Cr
2010,www.Love.com,25 Jun 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.17 Cr
2010,Raavan,18 Jun 2010,0 CrN.A,16.50 Cr,23.58 Cr,29.17 Cr
2010,The Camp,11 Jun 2010,N.A. Cr,N.A. Cr,N.A. Cr,0.05 Cr
2010,Ek Second… Jo Zindagi Badal De?,11 Jun 2010,0 CrN.A,0 CrN.A,0 CrN.A,0.23 Cr
2010,Raajneeti,04 Jun 2010,10.50 Cr,33.63 Cr,56.00 Cr,93.66 Cr
